,URN,LA,GENDER,RELCHAR,PNORG,PNORB,PSENELSE,PSENELK,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSMEVER,PNUMFSM,PERCTOT,PPERSABS10,TPUP,P8PUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,EBACCAPS,PTL2BASICS_94,PTL2BASICS_95,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING,OVERALL_DESTPER,NOT_SUSTAINEDPER,UNKNOWNPER,OVERALL_DESTPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,Rating
3142,136388,880,Mixed,None,55.0,45.0,1.1,1.7,3.6,96.4,0.0,8.0,3.8834951456310676,4.7,7.9,145.0,137,67.8,0.36,0.14,0.57,5.87,99.3%,93.1%,35.2%,34.5%,27.6%,99.3%,2,99%,1%,0%,100%,0%,0%,Unknown
3143,136389,865,Mixed,None,48.1,51.9,1.8,15.8,0.7,99.3,0.0,13.4,7.7027027027027035,4.6,8.4,126.0,121,55.2,0.43,0.2,0.66,4.69,77.8%,59.5%,34.9%,29.4%,23.0%,75.4%,2,94%,5%,2%,93%,4%,4%,Good
3146,136392,383,Mixed,Does not apply,50.0,50.0,0.6,6.6,6.6,93.4,0.0,23.4,11.348897535667964,4.7,11.1,265.0,262,54,0.72,0.56,0.87,4.9,82.6%,58.5%,58.1%,38.5%,26.4%,79.6%,1,93%,5%,2%,84%,11%,5%,Outstanding
3148,136396,919,Mixed,None,52.2,47.8,0.9,8.0,8.4,91.6,0.0,18.5,6.837606837606838,5.0,11.1,200.0,197,58.5,0.39,0.21,0.57,5.4,84.0%,63.5%,80.5%,61.0%,43.0%,83.0%,2,98%,2%,0%,95%,5%,0%,Good
3149,136398,874,Mixed,Church of England,51.1,48.9,1.4,2.0,7.6,92.4,0.0,8.1,3.908241291418862,4.3,16,150.0,149,63,0.68,0.48,0.89,5.8,90.0%,74.7%,70.7%,56.7%,41.3%,88.7%,1,99%,1%,1%,100%,0%,0%,Outstanding
3150,136399,884,Mixed,Does not apply,50.7,49.3,0.9,8.8,2.8,97.2,0.0,15.4,6.154910096818811,5.3,11.2,234.0,225,48.6,0.05,-0.12,0.22,4.35,64.1%,40.6%,53.0%,34.2%,21.8%,62.4%,3,94%,5%,1%,100%,0%,0%,Good
3151,136400,845,Mixed,Does not apply,46.1,53.9,3.8,7.7,5.7,93.8,0.5,38.9,26.30844382414515,6.2,15.9,260.0,245,37.7,-0.7,-0.86,-0.54,3.2,49.6%,25.8%,21.2%,9.2%,5.0%,42.7%,5,91%,8%,1%,85%,14%,1%,Good
3152,136401,845,Mixed,Does not apply,43.6,56.4,3.5,18.4,1.5,98.5,0.0,48.6,29.119638826185103,7.3,18.9,171.0,168,38.1,-0.39,-0.58,-0.19,3.01,50.3%,28.7%,19.3%,5.8%,1.8%,47.4%,4,88%,13%,0%,78%,22%,0%,Good
3153,136404,370,Mixed,Does not apply,48.0,52.0,2.2,7.0,10.5,89.5,0.0,30.1,16.462167689161554,5.1,11.7,342.0,327,45,0.1,-0.04,0.23,3.86,56.4%,33.9%,57.3%,25.4%,14.3%,54.4%,3,94%,5%,1%,86%,14%,0%,Good
3154,136405,884,Mixed,None,47.1,52.9,1.1,13.7,1.3,98.7,0.0,12.1,5.605381165919283,4.8,11.5,86.0,78,48.5,0.12,-0.16,0.41,4.56,66.3%,41.9%,73.3%,40.7%,25.6%,64.0%,3,98%,2%,0%,100%,0%,0%,Good
3155,136406,330,Mixed,None,45.0,55.0,3.6,12.4,41.7,57.8,0.6,48.2,29.411764705882355,5.8,14.3,261.0,255,43.6,-0.16,-0.31,0,3.8,60.9%,36.8%,24.9%,19.2%,13.4%,54.8%,3,92%,7%,1%,89%,10%,1%,Good
3156,136409,341,Boys,Roman Catholic,0.0,100.0,0.3,13.0,7.5,92.5,0.0,67.7,37.17579250720461,9.5,32.1,47.0,46,22.9,-1.51,-1.88,-1.14,1.78,14.9%,4.3%,0.0%,0.0%,0.0%,10.6%,5,88%,12%,0%,90%,10%,0%,Inadequate
3157,136411,344,Mixed,Does not apply,41.6,58.4,0.3,29.2,8.4,91.6,0.0,67.2,47.524752475247524,6.9,20.8,95.0,91,38.1,-0.39,-0.65,-0.12,3.21,53.7%,26.3%,33.7%,14.7%,7.4%,52.6%,4,86%,9%,5%,88%,8%,4%,Requires Improvement
3159,136414,860,Mixed,Does not apply,51.4,48.6,1.3,8.0,20.3,79.7,0.0,22.7,10.521458237194278,6.4,17.5,340.0,327,43.8,-0.32,-0.46,-0.18,4.04,64.1%,42.6%,62.1%,35.6%,18.8%,55.9%,4,95%,4%,1%,89%,10%,1%,Good
3160,136415,925,Mixed,Church of England,48.2,51.8,1.6,7.4,1.3,98.7,0.0,12.7,6.689655172413793,4.7,10,235.0,232,52.9,0.48,0.32,0.65,4.24,77.4%,55.3%,11.1%,9.4%,7.7%,72.8%,2,98%,2%,0%,91%,9%,0%,Unknown
3161,136416,935,Mixed,Church of England,51.1,48.9,2.4,5.5,1.0,99.0,0.0,12.3,5.481481481481482,4.4,9.6,133.0,129,57,0.7,0.48,0.92,5.02,79.7%,70.7%,33.8%,33.1%,28.6%,78.2%,1,97%,3%,0%,89%,11%,0%,Unknown
3162,136417,886,Girls,None,96.6,3.4,0.0,9.9,6.5,93.4,0.1,1.9,0.8460236886632826,4.2,8.2,175.0,131,76,0.62,0.4,0.84,7.56,100.0%,99.4%,98.9%,95.4%,90.3%,100.0%,1,100%,0%,0%,100%,0%,0%,Outstanding
3165,136420,871,Mixed,None,50.2,49.8,0.0,1.9,46.7,53.0,0.3,9.3,3.3849129593810443,3.4,3.5,146.0,133,71.8,0.73,0.52,0.95,6.79,99.3%,97.3%,95.2%,76.0%,57.5%,99.3%,1,97%,0%,3%,96%,0%,4%,Unknown
3166,136421,342,Mixed,Church of England/Roman Catholic,49.0,51.0,0.8,20.2,3.4,96.6,0.0,35.6,18.871252204585538,5.8,14.2,172.0,167,41.4,-0.35,-0.55,-0.16,3.53,52.9%,27.3%,51.7%,15.1%,10.5%,46.5%,4,93%,7%,0%,91%,9%,0%,Good
3168,136432,353,Mixed,Roman Catholic,50.5,49.5,2.1,9.9,21.8,78.2,0.0,41.2,20.28018679119413,6.4,17,292.0,269,43.5,-0.22,-0.37,-0.06,3.55,56.8%,37.0%,11.6%,7.5%,5.5%,52.4%,4,93%,6%,1%,89%,10%,1%,Good
3170,136438,935,Mixed,Does not apply,53.2,46.8,3.0,7.6,1.1,98.9,0.0,32.4,18.94484412470024,7.7,22.5,178.0,175,40.6,-0.21,-0.4,-0.02,3.38,61.2%,38.8%,16.3%,7.9%,5.6%,52.2%,4,97%,3%,1%,91%,9%,0%,Requires Improvement
3171,136442,873,Mixed,None,48.5,51.5,2.2,9.4,3.6,96.4,0.0,8.9,4.4673539518900345,4.5,8.6,170.0,161,53,0.3,0.1,0.49,4.76,75.9%,52.4%,46.5%,31.8%,23.5%,72.9%,2,98%,2%,1%,100%,0%,0%,Requires Improvement
3173,136444,882,Girls,None,95.5,4.5,0.1,0.2,9.8,90.1,0.2,9.2,3.204047217537943,4.1,8.3,150.0,132,72.5,0.62,0.4,0.84,6.63,100.0%,95.3%,66.0%,64.7%,57.3%,100.0%,1,99%,0%,1%,100%,0%,0%,Outstanding
3176,136450,208,Mixed,None,48.5,51.5,2.2,26.7,66.5,33.4,0.1,65.3,53.08764940239043,5.8,15.9,186.0,168,42.2,-0.29,-0.49,-0.1,3.81,58.1%,41.9%,62.4%,29.0%,16.7%,49.5%,4,89%,7%,3%,88%,9%,3%,Outstanding
3177,136451,840,Mixed,Does not apply,50.4,49.6,0.4,11.5,0.7,99.3,0.0,33.9,20.52980132450331,4.7,10.9,203.0,202,53,0.35,0.17,0.53,4.57,72.9%,47.8%,41.4%,28.6%,22.2%,72.4%,2,95%,5%,0%,90%,10%,0%,Outstanding
3178,136453,935,Mixed,Does not apply,51.7,48.3,2.5,10.9,19.6,80.2,0.3,43.5,24.904701397712834,5.9,17.4,152.0,131,40.6,0.16,-0.06,0.38,3.42,57.9%,36.2%,13.2%,12.5%,8.6%,53.3%,3,88%,10%,2%,80%,20%,0%,Good
3179,136454,826,Mixed,None,50.0,50.0,1.4,4.5,17.1,81.6,1.4,18.1,8.317025440313111,4.3,9.1,238.0,224,51.8,0.07,-0.1,0.24,4.51,76.5%,50.8%,42.9%,27.7%,16.8%,76.1%,3,95%,3%,2%,94%,6%,0%,Good
3185,136462,384,Mixed,None,48.3,51.7,1.1,6.5,2.8,97.0,0.2,19.0,7.976539589442816,5.9,14.8,269.0,266,48.4,-0.06,-0.22,0.09,4.21,71.7%,47.6%,32.0%,28.3%,21.2%,65.1%,3,96%,4%,0%,90%,10%,0%,Good
3187,136464,305,Mixed,None,42.6,57.4,1.0,6.3,7.7,92.3,0.0,26.2,9.057971014492754,5.9,15.1,235.0,228,41.5,-0.59,-0.76,-0.43,3.56,60.0%,33.2%,34.5%,16.6%,9.8%,51.9%,5,96%,3%,1%,96%,4%,0%,Good
3188,136465,886,Mixed,None,47.9,52.1,1.8,5.9,2.8,97.2,0.0,25.0,12.10762331838565,5.9,14.8,249.0,247,39,-0.43,-0.59,-0.27,3.23,54.2%,25.7%,41.8%,16.5%,6.4%,48.2%,4,92%,7%,1%,79%,19%,1%,Good
3189,136466,305,Mixed,Church of England,48.1,51.9,1.7,9.4,4.0,95.9,0.1,27.6,9.64840556009812,5.4,15.2,177.0,170,45.5,-0.08,-0.27,0.11,3.88,57.1%,35.0%,36.7%,24.9%,15.8%,52.5%,3,94%,5%,1%,93%,5%,2%,Good
3190,136467,305,Girls,None,99.3,0.7,0.7,8.2,11.3,83.7,5.1,28.8,12.957746478873238,5.4,14.4,188.0,175,48.7,0.08,-0.11,0.27,4.25,67.6%,45.7%,45.7%,30.9%,21.3%,61.2%,3,96%,3%,1%,92%,6%,2%,Good
3191,136468,826,Mixed,None,49.9,50.1,1.4,6.4,16.1,83.4,0.5,14.7,5.774896876841485,4.6,10,190.0,179,52.7,0.26,0.07,0.45,4.96,77.9%,60.0%,63.7%,41.6%,26.3%,72.6%,2,92%,7%,1%,79%,15%,6%,Good
3193,136470,822,Mixed,None,50.2,49.8,1.1,6.7,4.9,95.0,0.1,10.1,3.681290973272819,4.2,8,398.0,386,51.3,0.2,0.07,0.33,4.54,74.4%,46.7%,44.5%,29.6%,19.6%,71.1%,2,95%,4%,1%,86%,10%,4%,Good
3195,136474,916,Mixed,None,50.1,49.9,1.5,4.1,4.6,95.4,0.1,6.2,2.532561505065123,2.9,4.3,211.0,186,60.9,0.83,0.64,1.01,5.64,83.9%,70.1%,71.1%,54.5%,43.6%,82.5%,1,99%,1%,0%,93%,7%,0%,Outstanding
3196,136476,925,Mixed,Church of England,40.6,59.4,1.9,17.4,15.2,84.5,0.3,48.9,25.40106951871658,7.0,19.4,71.0,67,30.3,-0.49,-0.8,-0.18,2.26,28.2%,9.9%,0.0%,0.0%,0.0%,23.9%,4,88%,11%,1%,83%,18%,0%,Inadequate
3197,136479,925,Mixed,Does not apply,39.0,61.0,3.6,31.5,4.0,96.0,0.0,38.6,23.107569721115535,5.7,19,40.0,38,33.7,-0.42,-0.83,-0.01,3.1,37.5%,12.5%,22.5%,10.0%,0.0%,32.5%,4,91%,9%,0%,88%,13%,0%,Good
3198,136481,926,Mixed,None,49.6,50.4,1.1,11.4,11.3,88.4,0.3,9.1,2.6881720430107525,5.0,10.1,170.0,130,55,0.33,0.11,0.55,5.25,83.5%,62.9%,88.8%,50.6%,32.4%,77.6%,2,97%,2%,1%,87%,13%,0%,Unknown
3200,136483,800,Mixed,None,51.7,48.3,1.6,4.7,6.7,93.2,0.1,18.7,9.802306425041186,6.2,15.4,218.0,211,48.7,-0.09,-0.26,0.09,4.39,70.6%,43.6%,52.3%,29.4%,17.0%,67.4%,3,95%,4%,1%,83%,17%,0%,Good
3201,136484,825,Boys,None,0.0,100.0,0.5,1.5,33.3,66.7,0.1,4.9,1.7543859649122806,4.0,7.6,201.0,168,75,0.68,0.48,0.87,7.36,99.5%,98.0%,93.0%,88.6%,83.1%,99.5%,1,99%,1%,1%,100%,0%,0%,Good
3202,136488,928,Mixed,None,49.1,50.9,1.0,6.1,1.2,98.8,0.0,9.9,3.2420749279538903,4.3,7.7,208.0,207,50.9,0.04,-0.13,0.22,4.73,77.4%,53.4%,46.2%,37.5%,26.0%,75.0%,3,95%,3%,2%,86%,14%,0%,Outstanding
3203,136489,928,Mixed,Does not apply,51.1,48.9,0.7,9.9,2.0,98.0,0.0,12.4,4.452554744525548,5.1,10.5,222.0,211,51.7,0.08,-0.1,0.25,4.74,82.9%,61.7%,59.5%,37.4%,24.3%,74.8%,3,98%,2%,0%,100%,0%,0%,Good
3204,136490,882,Girls,None,93.9,6.1,0.1,0.4,15.2,84.7,0.1,7.7,2.5984251968503935,2.8,3.4,178.0,165,75.9,0.78,0.58,0.98,7.12,100.0%,98.3%,72.5%,72.5%,68.5%,100.0%,1,100%,0%,0%,100%,0%,0%,Unknown
3205,136491,925,Mixed,Christian,52.0,48.0,1.7,16.1,4.5,95.5,0.0,27.8,15.657620041753653,4.1,9.1,159.0,149,44,0,-0.21,0.2,3.95,63.5%,32.7%,60.4%,28.3%,13.8%,56.6%,3,96%,1%,4%,97%,0%,3%,Good
3206,136494,878,Mixed,None,50.2,49.8,2.8,12.4,1.6,98.4,0.0,19.3,7.211028632025451,6.3,14.4,143.0,141,47.9,0.03,-0.18,0.24,4.33,67.1%,46.9%,51.0%,37.8%,21.0%,64.3%,3,97%,3%,0%,96%,4%,0%,Requires Improvement
3207,136495,878,Mixed,Does not apply,50.9,49.1,2.1,11.4,1.4,96.6,2.0,19.9,10.613437195715676,5.8,12,171.0,167,43.3,-0.21,-0.4,-0.01,3.86,56.7%,32.2%,40.4%,24.6%,17.0%,48.5%,4,97%,3%,0%,87%,13%,0%,Requires Improvement
3208,136496,879,Boys,None,6.3,93.7,0.6,2.1,5.5,94.3,0.2,9.5,3.970826580226904,4.0,6.6,178.0,169,68.8,0.11,-0.08,0.3,6.38,98.9%,92.7%,69.7%,56.7%,43.3%,98.3%,3,99%,0%,1%,100%,0%,0%,Unknown
3210,136498,358,Mixed,None,44.4,55.6,0.4,3.6,8.1,91.9,0.0,5.9,2.0737327188940093,3.5,4.5,180.0,172,71.9,0.46,0.27,0.65,6.82,99.4%,97.2%,85.6%,75.0%,60.6%,99.4%,2,99%,1%,0%,100%,0%,0%,Unknown
3212,136501,886,Mixed,None,50.0,50.0,0.2,8.4,6.2,93.8,0.0,8.5,3.79746835443038,4.3,7.9,154.0,141,63.2,0.11,-0.1,0.33,5.91,94.8%,82.5%,75.3%,63.6%,45.5%,94.8%,3,98%,0%,2%,100%,0%,0%,Outstanding
3213,136502,382,Mixed,None,48.1,51.9,2.8,17.7,37.7,61.3,1.0,52.6,41.85082872928177,6.0,15.5,118.0,116,34.9,-0.53,-0.77,-0.3,2.73,38.1%,16.1%,9.3%,1.7%,1.7%,34.7%,5,93%,7%,0%,87%,13%,0%,Good
3216,136506,880,Girls,None,100.0,0.0,0.2,13.6,5.4,94.5,0.1,7.4,3.777544596012592,4.5,6.7,127.0,116,72.8,0.63,0.39,0.86,7.04,100.0%,97.6%,85.0%,84.3%,79.5%,99.2%,1,99%,1%,0%,89%,11%,0%,Outstanding
3220,136517,305,Boys,None,6.9,93.1,0.6,15.2,6.4,86.0,7.6,12.2,5.226258763543658,4.5,8.9,218.0,204,52,0.09,-0.09,0.26,4.82,77.5%,56.0%,70.2%,39.0%,26.1%,73.9%,3,97%,2%,1%,100%,0%,0%,Good
3222,136520,800,Mixed,None,9.2,90.8,1.4,11.5,4.6,95.4,0.0,11.0,4.794520547945205,4.7,9.7,199.0,174,54.2,0.07,-0.12,0.26,5.18,81.4%,62.3%,70.4%,52.3%,34.7%,76.9%,3,99%,1%,0%,100%,0%,0%,Inadequate
3224,136522,313,Mixed,None,47.9,52.1,2.2,20.8,79.0,21.0,0.0,33.0,16.689944134078214,4.3,7.4,206.0,197,54.1,0.64,0.46,0.81,5.17,75.2%,58.3%,96.1%,50.5%,28.6%,73.3%,1,94%,3%,3%,92%,6%,3%,Outstanding
3226,136525,841,Mixed,None,46.3,53.7,2.8,7.0,1.7,98.3,0.0,21.8,11.644832605531295,6.0,14.7,135.0,133,48.2,-0.27,-0.49,-0.05,3.8,75.6%,45.9%,8.9%,6.7%,3.7%,69.6%,4,95%,4%,1%,78%,22%,0%,Unknown
3227,136526,909,Mixed,None,50.1,49.9,2.6,5.6,5.2,94.3,0.5,16.6,5.097312326227989,5.4,12.8,206.0,204,48.5,0.03,-0.15,0.2,4.12,66.5%,46.1%,13.1%,11.2%,9.7%,61.7%,3,98%,2%,1%,91%,9%,0%,Requires Improvement
3228,136527,916,Mixed,None,49.6,50.4,1.1,14.8,3.3,96.7,0.0,15.9,9.237379162191193,4.8,12.4,207.0,195,50.5,0.14,-0.04,0.32,4.48,73.9%,53.1%,44.0%,27.1%,13.0%,70.0%,3,96%,4%,0%,91%,9%,0%,Good
3229,136529,936,Mixed,None,50.5,49.5,2.3,17.2,6.9,92.5,0.7,21.4,10.828625235404896,5.3,13.6,173.0,167,44.7,-0.02,-0.22,0.17,3.63,65.9%,35.8%,8.1%,5.2%,4.0%,56.6%,3,91%,7%,2%,90%,10%,0%,Good
3230,136530,857,Mixed,None,51.9,48.1,3.1,5.5,1.9,97.9,0.2,15.7,7.280080889787664,3.6,5.7,174.0,171,50.3,0.54,0.34,0.73,3.62,73.6%,46.0%,17.2%,14.4%,10.9%,71.8%,1,96%,3%,1%,91%,9%,0%,Outstanding
3232,136533,908,Mixed,None,50.2,49.8,1.3,1.2,2.1,97.9,0.0,20.6,8.805790108564535,5.0,10.8,262.0,257,46.3,-0.19,-0.35,-0.03,3.86,61.8%,40.1%,13.4%,11.5%,7.3%,59.2%,4,95%,4%,1%,86%,12%,2%,Good
3234,136537,925,Mixed,None,51.2,48.8,2.6,18.1,11.0,89.0,0.0,41.0,23.765786452353616,6.1,19.6,120.0,107,36.4,-0.31,-0.55,-0.06,2.95,35.8%,12.5%,24.2%,6.7%,3.3%,33.3%,4,92%,7%,1%,90%,10%,0%,Good
3235,136538,303,Mixed,Church of England,48.6,51.4,2.7,18.6,25.7,74.2,0.1,27.8,11.389961389961389,3.9,8.2,176.0,160,44.4,-0.02,-0.22,0.18,3.99,63.6%,34.7%,55.7%,27.3%,13.6%,58.0%,3,94%,4%,2%,97%,3%,0%,Good
3236,136540,305,Mixed,None,40.0,60.0,1.3,15.6,9.8,87.4,2.8,29.6,10.435301132975551,5.4,12.5,211.0,204,44.5,-0.48,-0.65,-0.3,3.61,59.2%,34.6%,20.4%,15.6%,9.5%,56.4%,4,91%,9%,1%,85%,13%,2%,Good
3238,136543,896,Mixed,Church of England,50.3,49.7,1.7,14.7,5.4,94.6,0.0,18.0,9.9609375,5.4,13.2,175.0,163,49.3,-0.04,-0.24,0.15,4.24,68.6%,46.3%,20.6%,16.0%,10.9%,63.4%,3,92%,5%,3%,77%,17%,7%,Good
3239,136544,816,Mixed,Church of England,49.0,51.0,2.2,8.3,2.0,97.9,0.1,10.4,5.7835820895522385,4.3,8.2,182.0,179,54.5,0.42,0.23,0.61,5.02,79.1%,57.1%,75.8%,53.3%,35.7%,74.2%,2,97%,3%,0%,88%,12%,0%,Unknown
3240,136545,305,Mixed,None,52.6,47.4,1.2,11.9,3.2,96.7,0.1,26.8,9.82839313572543,5.0,12.7,204.0,203,45.4,-0.19,-0.37,-0.01,3.97,68.1%,42.2%,41.7%,25.5%,13.7%,59.8%,4,92%,6%,2%,91%,9%,0%,Good
3242,136551,305,Girls,None,94.8,5.2,0.0,6.4,11.1,88.9,0.0,4.3,1.574074074074074,4.7,17.3,158.0,127,80.1,0.82,0.6,1.05,7.46,99.4%,98.7%,67.7%,67.7%,66.5%,99.4%,1,99%,0%,1%,100%,0%,0%,Outstanding
3245,136555,881,Mixed,None,48.4,51.6,2.4,11.3,5.4,94.2,0.5,25.1,10.613437195715676,5.2,14.5,176.0,172,46.3,-0.14,-0.33,0.05,3.82,68.8%,43.2%,14.8%,9.7%,4.5%,65.3%,3,93%,5%,1%,92%,8%,0%,Outstanding
3246,136556,879,Mixed,Does not apply,46.1,53.9,3.0,12.7,1.9,98.1,0.0,29.4,10.42654028436019,6.2,18.5,122.0,119,40.7,-0.2,-0.43,0.04,3.15,41.8%,22.1%,25.4%,9.8%,4.9%,39.3%,3,97%,2%,1%,87%,7%,7%,Requires Improvement
3247,136557,879,Mixed,Does not apply,49.5,50.5,2.0,8.7,2.0,97.9,0.1,13.8,5.392156862745098,5.6,14.7,202.0,199,49,0.04,-0.14,0.22,4.67,72.3%,49.5%,78.7%,42.6%,23.8%,67.3%,3,96%,4%,1%,89%,11%,0%,Good
3248,136558,879,Mixed,Does not apply,43.1,56.9,2.1,7.5,7.4,91.8,0.8,22.2,10.546875,5.7,14.8,170.0,157,45.9,-0.04,-0.24,0.16,4.08,67.1%,44.7%,30.6%,18.2%,10.6%,54.7%,3,96%,4%,1%,90%,10%,0%,Requires Improvement
3251,136567,908,Mixed,None,47.2,52.8,1.2,8.1,3.1,96.9,0.0,21.2,11.232279171210468,6.4,17.7,182.0,173,46.5,-0.15,-0.34,0.04,3.86,67.0%,46.2%,30.2%,16.5%,11.5%,63.2%,3,96%,4%,0%,97%,3%,0%,Good
3253,136569,878,Mixed,None,46.9,53.1,2.8,18.2,1.4,98.4,0.2,22.6,9.45945945945946,6.6,17.2,217.0,213,44.4,-0.3,-0.47,-0.13,3.71,60.8%,35.9%,30.0%,15.2%,10.6%,55.3%,4,96%,4%,0%,87%,13%,0%,Requires Improvement
3255,136571,886,Mixed,Does not apply,47.7,52.3,1.8,7.1,23.6,76.4,0.0,66.2,41.81818181818181,10.8,36.9,117.0,110,20.5,-1.44,-1.68,-1.2,1.74,17.9%,6.8%,6.0%,0.9%,0.0%,12.8%,5,72%,23%,5%,62%,31%,6%,Requires Improvement
3256,136572,908,Mixed,None,51.2,48.8,1.6,9.9,1.1,98.9,0.0,17.4,8.137715179968701,4.5,8,123.0,121,50.4,0.73,0.5,0.95,4.39,70.7%,52.0%,47.2%,27.6%,21.1%,66.7%,1,97%,3%,0%,100%,0%,0%,Outstanding
3257,136573,908,Mixed,Does not apply,50.4,49.6,1.3,10.1,2.3,97.4,0.3,18.3,7.249466950959488,4.5,9.6,278.0,271,52.8,0.49,0.33,0.64,4.44,74.5%,51.1%,11.9%,9.4%,6.5%,73.7%,2,93%,7%,0%,88%,12%,0%,Outstanding
3260,136576,311,Mixed,None,49.5,50.5,2.4,6.6,18.3,81.0,0.7,42.7,20.781032078103205,5.4,16.4,151.0,148,39.1,-0.53,-0.74,-0.32,3.26,47.7%,29.1%,14.6%,4.6%,4.0%,41.7%,5,89%,10%,1%,79%,19%,2%,Inadequate
3261,136577,881,Mixed,None,48.8,51.2,0.8,8.8,1.6,98.4,0.0,11.5,4.309133489461359,3.4,5,330.0,326,48.6,-0.2,-0.34,-0.06,4.26,76.7%,44.5%,58.2%,30.9%,19.7%,73.6%,4,97%,3%,0%,95%,5%,0%,Inadequate
3264,136580,873,Mixed,None,49.8,50.2,1.4,2.4,8.1,91.9,0.0,9.5,5.243161094224924,5.2,11.5,273.0,265,55.3,0.58,0.42,0.73,5.08,76.9%,54.6%,63.4%,51.3%,35.2%,75.5%,1,96%,4%,0%,94%,6%,0%,Unknown
3267,136583,886,Mixed,Does not apply,49.5,50.5,1.2,6.2,6.7,93.0,0.3,31.6,15.327793167128348,6.5,17.6,149.0,142,36.3,-0.48,-0.69,-0.27,3.13,47.0%,25.5%,66.4%,14.1%,2.7%,42.3%,4,98%,2%,0%,98%,2%,0%,Good
3268,136584,886,Mixed,None,49.3,50.7,1.6,10.0,5.4,94.6,0.0,28.1,14.435695538057743,5.9,16.1,153.0,152,39.3,-0.37,-0.58,-0.17,3.12,46.4%,22.2%,12.4%,3.9%,0.7%,44.4%,4,94%,4%,1%,93%,8%,0%,Good
3269,136585,886,Mixed,None,50.1,49.9,0.5,1.5,8.6,90.9,0.6,16.1,7.274180655475619,4.6,7.7,171.0,168,63.4,0.05,-0.14,0.24,5.94,96.5%,85.4%,61.4%,47.4%,36.3%,94.7%,3,96%,3%,1%,91%,9%,0%,Unknown
3272,136588,879,Girls,Does not apply,98.3,1.7,0.1,5.3,8.0,91.6,0.4,7.2,3.3136094674556213,3.6,4.3,116.0,109,74.1,0.64,0.4,0.88,7.02,100.0%,98.3%,90.5%,84.5%,72.4%,100.0%,1,99%,1%,0%,100%,0%,0%,Good
3273,136589,330,Mixed,None,48.0,52.0,3.1,19.2,7.3,92.5,0.2,51.8,32.190265486725664,6.1,16.7,172.0,164,45.9,0.01,-0.19,0.21,3.92,65.1%,42.4%,29.1%,20.9%,16.3%,59.3%,3,88%,10%,2%,85%,13%,3%,Outstanding
3274,136590,330,Girls,None,94.6,5.4,0.7,8.9,8.2,91.8,0.0,27.0,10.160965794768611,4.1,8.2,141.0,136,56.4,0.38,0.16,0.59,5.38,78.0%,58.9%,80.1%,66.0%,44.7%,74.5%,2,96%,4%,0%,88%,13%,0%,Outstanding
3275,136592,330,Girls,None,93.5,6.5,0.8,8.3,38.1,61.8,0.1,28.5,16.017316017316016,4.3,8.3,124.0,117,53.2,0.75,0.52,0.98,4.79,71.8%,49.2%,91.9%,46.8%,28.2%,71.0%,1,100%,0%,0%,100%,0%,0%,Unknown
3277,136594,887,Boys,Does not apply,5.9,94.1,0.2,7.2,13.8,86.2,0.0,14.3,6.103286384976526,3.7,6.3,111.0,108,59.2,0.13,-0.11,0.38,5.24,94.6%,74.8%,41.4%,33.3%,25.2%,91.9%,3,99%,1%,0%,100%,0%,0%,Good
3279,136600,311,Mixed,Christian,49.3,50.7,0.7,0.6,5.3,94.2,0.5,6.4,2.525597269624573,3.9,6.1,189.0,173,60.4,0.47,0.28,0.66,5.66,91.5%,76.2%,92.6%,65.1%,44.4%,89.9%,2,97%,2%,1%,100%,0%,0%,Good
3281,136604,381,Mixed,None,51.6,48.4,2.2,12.3,1.7,98.3,0.0,19.3,8.273381294964029,5.8,15,220.0,220,45.7,-0.13,-0.3,0.04,3.78,70.0%,42.3%,30.5%,15.0%,6.8%,67.7%,3,95%,4%,1%,80%,20%,0%,Good
3282,136605,881,Mixed,None,49.0,51.0,1.7,9.6,1.4,98.5,0.1,15.4,4.672897196261682,6.5,17.8,255.0,248,42.2,-0.57,-0.73,-0.41,3.08,60.8%,32.2%,8.2%,5.9%,4.3%,54.5%,5,96%,4%,0%,89%,11%,0%,Good
3283,136606,919,Mixed,None,50.1,49.9,0.5,3.6,15.7,81.3,3.0,7.3,2.617397998460354,4.2,8.3,193.0,188,58.5,0.38,0.2,0.56,5.35,86.5%,71.5%,62.7%,47.2%,35.2%,84.5%,2,98%,2%,0%,94%,6%,0%,Good
3284,136607,919,Mixed,None,47.9,52.1,0.9,5.0,8.7,90.9,0.4,19.3,7.132018209408194,6.2,16.9,209.0,203,46.3,-0.12,-0.3,0.06,4.22,64.6%,46.4%,78.5%,30.6%,12.4%,56.9%,3,95%,4%,1%,100%,0%,0%,Requires Improvement
3285,136608,919,Mixed,Does not apply,48.8,51.2,0.4,12.5,4.8,93.4,1.8,18.7,8.053691275167784,4.6,11.7,204.0,197,50.3,0.11,-0.07,0.29,4.79,72.1%,50.5%,67.2%,42.2%,32.4%,65.2%,3,94%,6%,0%,85%,15%,0%,Good
