,URN,LA,GENDER,RELCHAR,PNORG,PNORB,PSENELSE,PSENELK,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSMEVER,PNUMFSM,PERCTOT,PPERSABS10,TPUP,P8PUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,EBACCAPS,PTL2BASICS_94,PTL2BASICS_95,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING,OVERALL_DESTPER,NOT_SUSTAINEDPER,UNKNOWNPER,OVERALL_DESTPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,Rating
2468,132834,888,Mixed,None,48.5,51.5,1.4,8.6,1.9,98.1,0.0,21.1,10.371959942775394,6.8,17,244.0,243,44.4,-0.41,-0.57,-0.25,3.91,68.0%,41.0%,36.5%,25.4%,16.8%,59.0%,4,94%,6%,0%,89%,11%,0%,Inadequate
2472,133114,883,Mixed,Does not apply,49.6,50.4,2.3,14.7,16.0,84.0,0.0,43.9,20.866141732283463,5.7,15.6,196.0,190,39.5,-0.26,-0.44,-0.07,3.14,54.6%,33.7%,4.6%,4.6%,3.6%,42.3%,4,87%,12%,1%,77%,21%,2%,Good
2476,133289,211,Boys,Roman Catholic,0.0,100.0,2.3,8.0,29.3,70.5,0.2,57.6,26.003490401396164,4.8,12.2,111.0,107,44,-0.34,-0.59,-0.1,3.53,63.1%,30.6%,12.6%,4.5%,1.8%,55.9%,4,91%,7%,2%,87%,12%,2%,Good
2477,133293,805,Mixed,Church of England,47.7,52.3,1.1,23.1,1.3,98.7,0.0,55.1,40.479548660084625,8.0,24.6,129.0,128,37.7,-0.78,-1.01,-0.56,3.01,45.0%,20.9%,8.5%,3.9%,3.9%,40.3%,5,94%,5%,1%,90%,8%,2%,Inadequate
2478,133306,330,Mixed,Muslim,52.8,47.2,0.7,6.2,93.0,7.0,0.0,35.4,22.420907840440165,5.1,13.8,54.0,52,54.7,1.14,0.79,1.49,5.08,72.2%,48.1%,92.6%,37.0%,25.9%,68.5%,1,95%,3%,3%,93%,5%,2%,Inadequate
2483,133351,355,Mixed,Does not apply,50.5,49.5,3.1,16.0,12.8,87.2,0.0,65.8,38.6096256684492,12.8,40.6,175.0,169,28.8,-1.37,-1.56,-1.18,2.33,30.9%,13.7%,18.9%,5.1%,2.3%,28.0%,5,83%,17%,0%,80%,20%,0%,Inadequate
2485,133386,309,Mixed,Church of England,40.6,59.4,0.7,5.0,63.4,32.4,4.2,61.6,16.875,6.4,19.9,192.0,138,36.8,-0.17,-0.38,0.05,3.18,35.4%,19.3%,35.9%,15.6%,6.8%,33.9%,3,94%,6%,0%,94%,6%,0%,Good
2487,133405,317,Mixed,Does not apply,47.7,52.3,1.3,5.7,69.6,30.4,0.1,28.2,15.333333333333332,5.2,12.6,237.0,220,51.7,0.6,0.43,0.77,4.52,73.4%,52.7%,14.8%,11.4%,8.9%,70.9%,1,93%,5%,2%,91%,7%,3%,Good
2510,133580,868,Mixed,Church of England,50.2,49.8,2.5,26.8,24.9,75.1,0.0,33.8,23.34384858044164,5.3,13.6,57.0,44,39.5,-0.06,-0.44,0.32,3.06,50.9%,26.3%,17.5%,7.0%,5.3%,50.9%,3,88%,4%,8%,83%,5%,13%,Good
2517,133697,335,Mixed,Does not apply,50.0,50.0,1.2,6.4,4.1,95.7,0.2,36.9,15.540015540015538,5.2,14,173.0,171,45.5,-0.04,-0.23,0.15,3.84,54.3%,30.6%,74.0%,32.4%,16.8%,52.0%,3,98%,2%,1%,93%,5%,2%,Good
2520,133725,393,Mixed,None,47.6,52.4,6.5,13.7,1.2,98.8,0.0,49.8,26.13195342820181,6.7,19.4,143.0,141,39.8,-0.37,-0.58,-0.16,3.23,56.6%,25.2%,9.8%,6.3%,2.1%,49.0%,4,94%,6%,0%,89%,11%,0%,Good
2524,133768,806,Mixed,Does not apply,54.0,46.0,1.3,15.2,19.3,80.7,0.0,76.8,50.62586926286509,7.7,23.5,91.0,84,34.9,-0.3,-0.58,-0.03,2.45,30.8%,9.9%,23.1%,5.5%,0.0%,28.6%,4,75%,24%,2%,72%,26%,2%,Requires Improvement
2528,134003,315,Mixed,Church of England,50.9,49.1,1.3,16.2,50.4,47.6,2.0,42.0,24.561403508771928,5.5,14.1,134.0,98,43.6,0.35,0.1,0.6,3.86,52.2%,35.1%,45.5%,25.4%,15.7%,48.5%,2,92%,6%,2%,84%,10%,6%,Good
2530,134042,938,Mixed,Does not apply,48.2,51.8,2.7,9.3,7.8,92.2,0.0,13.4,5.49530007230658,5.4,12.8,233.0,224,44.3,-0.1,-0.27,0.07,3.81,58.4%,34.8%,19.7%,12.0%,8.6%,53.2%,3,92%,7%,1%,77%,20%,3%,Good
2544,134222,210,Mixed,Does not apply,48.6,51.4,2.5,9.3,29.2,69.4,1.4,63.4,25.916055962691537,6.5,18.3,234.0,229,44.7,-0.46,-0.62,-0.29,3.85,62.0%,35.5%,79.1%,30.3%,13.2%,55.6%,4,95%,4%,2%,92%,6%,2%,Good
2545,134223,806,Mixed,Christian,51.1,48.9,5.1,12.7,4.8,95.2,0.0,37.8,18.448979591836732,6.5,20,197.0,195,42.7,-0.05,-0.23,0.13,3.69,51.3%,34.0%,34.5%,20.8%,14.2%,48.7%,3,94%,5%,2%,89%,10%,2%,Good
2546,134224,352,Mixed,Christian,34.3,65.7,2.9,8.3,57.5,40.9,1.6,66.4,36.85687558465856,8.5,25.9,197.0,160,39.6,-0.1,-0.3,0.1,3.18,52.8%,31.0%,7.6%,2.5%,0.5%,46.2%,3,92%,7%,1%,91%,8%,1%,Requires Improvement
2548,134226,304,Mixed,Does not apply,48.0,52.0,1.6,9.7,68.4,31.5,0.1,43.9,16.149068322981368,4.4,8.6,184.0,160,41.2,-0.12,-0.31,0.08,3.61,50.0%,33.2%,60.3%,22.3%,13.0%,41.8%,3,90%,8%,2%,87%,10%,3%,Good
2549,134253,892,Mixed,Does not apply,44.1,55.9,0.0,7.9,73.8,26.2,0.0,42.0,24.113475177304963,8.5,26.9,113.0,73,43.8,0.73,0.44,1.03,3.86,55.8%,37.2%,39.8%,15.0%,7.1%,50.4%,1,77%,19%,4%,76%,20%,3%,Good
2554,134311,308,Mixed,None,50.8,49.2,0.9,10.5,64.3,35.7,0.0,56.0,27.13963963963964,8.0,26.4,164.0,146,36.7,-0.32,-0.53,-0.11,3.48,36.0%,18.9%,81.1%,15.9%,12.2%,31.1%,4,90%,7%,3%,85%,12%,3%,Good
2555,134314,206,Mixed,Church of England,48.4,51.6,1.3,13.2,29.5,70.3,0.2,50.8,26.981707317073173,5.5,13.6,164.0,155,53.3,0.44,0.24,0.64,4.92,79.3%,58.5%,45.7%,37.8%,31.1%,72.0%,2,92%,7%,1%,92%,8%,0%,Good
2557,134369,307,Mixed,Does not apply,45.7,54.3,1.1,12.2,60.2,39.3,0.5,38.6,19.587628865979383,6.1,17.1,120.0,80,40.5,-0.25,-0.53,0.03,3.65,54.2%,30.8%,80.0%,23.3%,10.8%,49.2%,3,90%,8%,3%,85%,15%,0%,Good
2597,134640,855,Mixed,Does not apply,38.7,61.3,100.0,0.0,1.9,98.1,0.0,39.7,29.03225806451613,8.4,21.5,19.0,18,7.8,-1.5,-2.1,-0.91,0.64,10.5%,0.0%,0.0%,0.0%,0.0%,0.0%,5,88%,6%,6%,83%,17%,0%,Good
2598,134646,350,Mixed,Does not apply,46.8,53.2,1.7,9.5,34.0,65.8,0.2,39.3,21.711229946524064,6.6,20.2,171.0,160,40.8,-0.48,-0.68,-0.28,3.36,52.0%,26.3%,10.5%,8.8%,5.8%,50.3%,4,93%,6%,1%,88%,10%,2%,Good
2602,134662,840,Mixed,Does not apply,31.5,68.5,100.0,0.0,1.1,98.9,0.0,58.9,44.927536231884055,8.3,26.6,43.0,43,3.5,-1.56,-1.95,-1.18,0.25,2.3%,0.0%,0.0%,0.0%,0.0%,2.3%,5,92%,8%,0%,89%,11%,0%,Outstanding
2613,134798,302,Mixed,Does not apply,42.6,57.4,1.8,11.5,51.5,48.2,0.3,44.5,25.46744036105738,5.0,9.4,177.0,139,51.7,0.99,0.78,1.21,4.47,77.4%,57.1%,35.0%,19.8%,15.8%,71.2%,1,94%,5%,1%,91%,8%,1%,Good
